epoch,step,val/reward
0,1,-195.3000030517578
1,3,-125.9800033569336
2,5,-195.99000549316406
3,7,-7.050000190734863
4,9,-6.710000038146973
5,11,-7.339999198913574
6,13,-6.609999179840088
7,15,-6.670000076293945
8,17,-7.550000190734863
9,19,-6.909999847412109
