epoch,step,train/loss,train/reward,val/reward
0,49,nan,inf,
0,99,nan,inf,
0,149,nan,inf,
0,195,,,inf
1,199,nan,inf,
1,249,nan,inf,
1,299,nan,inf,
1,349,nan,inf,
1,391,,,inf
2,399,nan,inf,
2,449,nan,inf,
2,499,nan,inf,
2,549,nan,inf,
2,587,,,inf
