epoch,step,val/reward
0,1,980.0399780273438
1,3,1000.0
2,5,1000.0
3,7,1000.0
4,9,1000.0
5,11,1000.0
6,13,1000.0
7,15,1000.0
8,17,1000.0
9,19,1000.0
