epoch,step,train/loss,train/reward,val/reward
0,49,-0.022347718477249146,-8.100000381469727,
0,99,0.6810585856437683,-7.253333568572998,
0,149,0.5006682276725769,-7.926666736602783,
0,199,0.056270428001880646,-8.119999885559082,
0,249,0.3978269100189209,-7.080000400543213,
0,299,-2.9942209720611572,-8.633333206176758,
0,333,,,-7.570226669311523
1,349,1.4551903009414673,-7.28000020980835,
1,399,-0.33199751377105713,-8.166666984558105,
1,449,-2.5215418338775635,-8.726666450500488,
1,499,-1.2358362674713135,-8.346667289733887,
1,549,-1.097348928451538,-7.353333473205566,
1,599,-2.6558806896209717,-8.239999771118164,
1,649,-2.5789835453033447,-8.09333324432373,
1,667,,,-7.618150234222412
2,699,-0.7553210854530334,-8.266666412353516,
2,749,0.15210211277008057,-8.039999961853027,
2,799,-2.2168221473693848,-8.40000057220459,
2,849,-2.3201379776000977,-7.266666889190674,
2,899,-1.138824462890625,-7.12000036239624,
2,949,0.06773778796195984,-7.206666946411133,
2,999,-1.522962212562561,-6.866666793823242,
2,1001,,,-7.721174716949463
