epoch,step,train/loss,train/reward,val/reward
0,49,10.351081848144531,-9.293506622314453,
0,99,-0.220365971326828,-8.26451301574707,
0,149,0.6545226573944092,-7.585465431213379,
0,195,,,-6.693334579467773
1,199,-26.42339324951172,-7.480060577392578,
1,249,-6.209510803222656,-6.928371429443359,
1,299,-4.368165969848633,-6.847113132476807,
1,349,-0.9790600538253784,-6.709297180175781,
1,391,,,-6.4769182205200195
2,399,-5.038705825805664,-6.716999530792236,
2,449,-3.0978617668151855,-6.6419572830200195,
2,499,-5.09998893737793,-6.671418190002441,
2,549,-2.817318916320801,-6.593589782714844,
2,587,,,-6.468996047973633
