epoch,step,train/loss,train/reward,val/reward
0,49,7.86249303817749,-13.22313117980957,
0,99,-1.0958092212677002,-12.50889778137207,
0,149,0.19954270124435425,-12.301420211791992,
0,195,,,-10.800169944763184
1,199,-69.07577514648438,-12.149018287658691,
1,249,-13.830708503723145,-11.122251510620117,
1,299,2.690490484237671,-10.706686019897461,
1,349,7.779402732849121,-10.464468002319336,
1,391,,,-10.1264066696167
2,399,-6.91392707824707,-10.367559432983398,
2,449,-3.9398834705352783,-10.187675476074219,
2,499,2.3363428115844727,-9.927390098571777,
2,549,3.0277035236358643,-9.963579177856445,
2,587,,,-9.499883651733398
