epoch,step,val/reward
0,1,751.2100219726562
1,3,791.3099975585938
2,5,781.139892578125
3,7,1000.0
4,9,1000.0
5,11,1000.0
6,13,1000.0
7,15,1000.0
8,17,1000.0
9,19,1000.0
