epoch,step,train/loss,train/reward,val/reward
0,49,8.749485969543457,-7.603515625,
0,99,3.924173355102539,-6.708984375,
0,149,2.210813522338867,-6.845703125,
0,195,,,-6.663700103759766
1,199,0.2824050784111023,-6.806640625,
1,249,-0.6726018190383911,-6.94921875,
1,299,2.2821788787841797,-6.544921875,
1,349,-4.0111188888549805,-7.068359375,
1,391,,,-6.668399810791016
2,399,-1.5943002700805664,-6.83984375,
2,449,2.858991861343384,-6.5859375,
2,499,1.992483139038086,-6.4765625,
2,549,-1.6243177652359009,-6.802734375,
2,587,,,-6.637599945068359
