epoch,step,train/loss,train/reward,val/reward
0,49,2.933986186981201,-9.978775978088379,
0,99,5.468523025512695,-8.372333526611328,
0,149,0.06773316860198975,-7.6597371101379395,
0,195,,,-6.667386531829834
1,199,-30.104290008544922,-7.498042106628418,
1,249,-9.570272445678711,-7.0120744705200195,
1,299,-5.093870639801025,-6.84134578704834,
1,349,-5.502484321594238,-6.8566155433654785,
1,391,,,-6.474079132080078
2,399,-5.586667060852051,-6.7006354331970215,
2,449,-5.168222904205322,-6.6984076499938965,
2,499,-2.52280330657959,-6.59876012802124,
2,549,-4.696747779846191,-6.605252265930176,
2,587,,,-6.368171691894531
